Database;Datenbank;Base de données
ToolWindows;Tool-Fenster;Fenêtres outils
Window_Events;Fenster-Ereignisse;Evenements des fenêtres
Window_Skins;Fenster-Skins;Habillage/apparence des fenêtres
Desktop;Windows-Oberfläche;Bureau
Hardware;;Matériel
Processes;Prozesse;Processus
Registry;;Registre
RunProgram;Programm starten;Exécution de programmes
Screenshots;Bildschirmfotos;Copie d'écran
Settings;Einstellungen;Réglages
Sounds;;Sons
Taskbar;;Barre de tâche
Tasks&Processes;Tasks & Prozesse;Tâches et processus
Timer;Zeitsteuerung;Timer
WindowsAnims+Icons;Windows-Animationen + Icons;Fenêtres animées + Icônes
